monthData,PE_total
1997/4/1,79.17644082
1997/5/1,96.37974876
1997/6/1,95.50635018
1997/7/1,110.2213132
1997/8/1,105.4091096
1997/9/1,75.39693017
1997/10/1,44.01148242
1997/11/1,33.80476863
1997/12/1,21.51190612
1998/1/1,30.51093448
1998/2/1,37.60324321
1998/3/1,63.41481898
1998/4/1,89.95329207
1998/5/1,122.9019208
1998/6/1,120.0188459
1998/7/1,95.10013699
1998/8/1,89.39158022
1998/9/1,79.82915266
1998/10/1,53.40001962
1998/11/1,43.80002746
1998/12/1,32.56983012
1999/1/1,35.78037734
1999/2/1,55.4372777
1999/3/1,85.83209287
1999/4/1,118.4751827
1999/5/1,104.3860911
1999/6/1,84.52527263
1999/7/1,109.4831348
1999/8/1,99.84273529
1999/9/1,80.6936134
1999/10/1,44.15242905
1999/11/1,33.17592364
1999/12/1,24.42271505
2000/1/1,28.55227559
2000/2/1,32.68614372
2000/3/1,59.43487864
2000/4/1,82.90456628
2000/5/1,106.8381303
2000/6/1,107.2090279
2000/7/1,127.3633259
2000/8/1,93.71368361
2000/9/1,65.33416264
2000/10/1,67.74262043
2000/11/1,43.40850946
2000/12/1,32.95796116
2001/1/1,37.31774407
2001/2/1,50.36232849
2001/3/1,63.22630561
2001/4/1,86.37283426
2001/5/1,97.26069637
2001/6/1,97.3593403
2001/7/1,128.2455508
2001/8/1,92.6737643
2001/9/1,76.39796077
2001/10/1,64.33193026
2001/11/1,44.97776636
2001/12/1,32.18875312
2002/1/1,28.30492669
2002/2/1,50.39682429
2002/3/1,68.41560341
2002/4/1,101.4459887
2002/5/1,99.61191948
2002/6/1,100.068302
2002/7/1,111.5437036
2002/8/1,118.7092847
2002/9/1,74.76327622
2002/10/1,59.87520762
2002/11/1,40.0046799
2002/12/1,39.40685318
2003/1/1,36.13344624
2003/2/1,42.7468121
2003/3/1,76.00182388
2003/4/1,113.7293647
2003/5/1,95.34402514
2003/6/1,101.373248
2003/7/1,108.5450986
2003/8/1,89.72732603
2003/9/1,83.16131563
2003/10/1,73.96911442
2003/11/1,51.43308293
2003/12/1,33.98309777
2004/1/1,30.90044883
2004/2/1,44.50306317
2004/3/1,90.3577228
2004/4/1,97.61665799
2004/5/1,106.8620463
2004/6/1,97.98694369
2004/7/1,113.872212
2004/8/1,94.21623171
2004/9/1,80.56119643
2004/10/1,55.90930538
2004/11/1,37.30992669
2004/12/1,34.96637416
2005/1/1,36.86964829
2005/2/1,42.29331005
2005/3/1,69.91906322
2005/4/1,87.30010879
2005/5/1,94.12945759
2005/6/1,96.13262816
2005/7/1,104.975226
